V1,V2
1.057599308,1.057232757
0.612648108,0.596063268
-0.401720315,-2.297618834
1.366704858,1.41970114
-0.182615427,-0.859695974
0.068423297,-0.863785458
-2.090894086,-1.658301625
-0.130770913,2.010387581
2.066268046,1.830457222
0.949685949,-1.807439004
2.131771825,1.236402747
-0.060455106,-1.004271797
1.039030851,1.160125818
-0.103323389,-0.643793637
0.826616522,0.509145712
0.42513015,0.035155883
-0.934279848,-1.384997782
-0.452685872,0.32606968
-0.281800979,0.364848125
-0.736905634,-1.366460494
0.359609459,0.431346811
-1.007240753,0.068927818
0.276100059,0.097289146
-0.238312043,-0.664142388
1.087069995,1.852761857
2.159474779,1.304332106
-3.320882343,-5.434934661
-2.789026743,0.22999626
-1.993140227,2.077204859
-1.7090907,-1.881778347
1.155276811,1.451422421
1.31346588,1.375806187
0.113012603,-1.161002188
-0.581611854,-0.621658455
0.162575894,1.223016207
-0.809570214,-0.754162807
-0.380186576,-0.337123527
-1.476124119,-0.610624423
-0.850545555,0.471746061
-1.210222441,-0.601536528
-1.103799631,-0.264735644
-3.966307752,-3.29027221
-3.029876952,0.324501194
-2.086072241,0.533882272
0.284259432,0.344429121
-2.574055768,-2.278788948
-1.812023642,-0.605375773
-1.082396191,0.695413732
-1.357369005,1.141440471
0.795415001,0.477355887
-0.12749047,-1.243629204
-0.569568031,-0.67596655
-2.919607583,-0.698621603
-2.04042856,0.281643806
-0.747466404,0.405893523
-1.009681802,-0.479596363
-0.751262297,-1.026330235
0.442531502,1.88061124
-0.871260838,-0.748976347
-1.013693462,-0.968163429
-0.930078565,0.1603022
-2.469060164,-1.343545892
